Order date,product key,customer key,region key,order quantity
43466,59,26988,10,18
43466,39,28272,8,17
43466,10,27913,5,1
43466,274,19718,9,7
43466,87,22203,3,17
43466,188,23226,4,15
43466,161,21568,8,5
43466,280,25961,6,6
43466,136,18125,4,4
43466,256,18038,9,12
43466,198,20527,7,16
43466,36,23095,6,18
43466,60,16189,4,2
43466,177,19629,9,19
43466,211,21756,10,1
43466,27,16275,2,3
43466,154,13391,6,6
43466,122,24286,1,19
43466,82,21219,4,12
43466,249,16020,6,15
43466,124,17713,3,16
43466,17,15978,1,9
43466,1,27323,4,10
43466,288,20166,9,5
43466,23,15889,10,15
43466,239,25764,8,4
43466,2,28475,10,10
43466,128,21217,4,4
43466,83,24000,4,13
43466,124,22705,8,18
43466,270,14250,4,6
43466,246,18752,6,9
43466,186,21409,7,5
43466,98,16232,6,7
43466,202,27536,9,11
43467,181,19375,7,7
43467,216,28596,1,7
43467,3,22060,10,15
43467,33,15137,7,10
43467,279,27800,2,15
43467,123,25702,5,4
43467,226,21300,2,4
43467,266,13588,4,12
43467,167,17223,5,10
43467,32,22478,6,4
43467,121,12400,4,8
43467,81,16458,9,11
43467,66,28723,6,9
43467,184,15481,6,14
43467,28,28050,2,13
43467,143,21858,10,3
43467,127,18403,6,8
43467,165,28361,3,5
43467,70,13443,10,18
43467,241,23769,3,10
43467,2,16207,8,2
43467,207,22394,8,2
43467,203,27561,8,14
43467,14,28224,3,7
43467,206,14843,6,19
43467,92,26219,9,20
43467,69,16645,5,6
43467,96,20958,6,7
43467,153,23283,2,5
43467,176,19766,4,17
43467,260,22629,6,5
43467,40,21214,2,8
43467,82,20531,10,10
43467,251,21521,10,5
43467,229,27886,1,18
43467,98,12123,7,20
43467,280,19458,9,7
43468,291,14627,6,19
43468,178,21010,9,15
43468,8,26286,4,7
43468,264,29475,7,11
43468,203,15200,4,15
43468,285,25797,3,1
43468,149,21284,2,16
43468,136,24336,5,14
43468,263,26617,8,14
43468,164,23807,4,11
43468,203,20825,1,8
43468,53,14911,4,14
43468,112,28759,5,19
43468,209,26184,4,7
43468,48,25939,10,8
43468,283,26714,1,1
43468,65,18271,4,20
43468,165,13739,6,7
43468,68,26671,2,12
43468,143,23519,4,3
43468,65,12943,8,7
43468,157,26125,2,16
43468,233,21289,3,12
43468,191,11165,6,13
43468,106,23233,2,13
43468,94,11129,4,9
43468,134,15203,1,7
43468,96,22427,1,5
43468,74,17618,7,5
43468,30,12528,4,19
43468,84,17632,1,1
43468,3,19516,3,2
43468,116,22952,7,16
43468,25,20267,2,2
43468,219,17752,2,6
43468,269,28511,3,14
43468,52,29093,10,16
43468,216,22864,10,5
43468,258,11242,8,18
43468,265,17546,7,14
43468,82,26952,7,1
43468,132,17948,8,15
43468,218,22675,3,6
43468,220,20083,4,14
43468,40,26413,8,10
43468,24,25075,4,11
43468,209,22249,1,7
43468,214,11350,3,17
43468,23,16254,3,13
43468,66,26632,1,16
43468,278,23564,4,2
43468,94,25718,8,3
43468,155,24694,2,15
43468,51,16668,10,7
43468,282,14540,2,4
43468,188,12341,2,6
43468,171,17870,3,6
43468,144,16789,3,7
43468,155,18601,6,8
43468,21,21253,2,19
43468,256,23855,1,17
